t,pool_size
30.0,0
45.0,0
60.0,0
90.0,0
120.0,0
135.0,0
150.0,0
180.0,2
210.0,2
225.0,2
240.0,2
270.0,2
300.0,2
315.0,4
330.0,4
360.0,4
390.0,4
405.0,4
420.0,5
450.0,5
480.0,5
495.0,5
510.0,7
540.0,9
570.0,9
585.0,10
600.0,18
630.0,14
660.0,17
675.0,15
690.0,24
720.0,25
750.0,27
765.0,28
780.0,29
810.0,29
840.0,36
855.0,36
870.0,36
900.0,45
930.0,54
945.0,54
960.0,54
990.0,52
1020.0,53
1035.0,49
1050.0,53
1080.0,52
1110.0,53
1125.0,48
1140.0,48
1170.0,46
1200.0,47
1215.0,38
1230.0,41
1260.0,37
1290.0,40
1305.0,37
1320.0,39
1350.0,32
1380.0,34
1395.0,27
1410.0,29
1440.0,21
1470.0,25
1485.0,24
1500.0,25
1530.0,29
1560.0,38
1575.0,35
1590.0,39
1620.0,39
1650.0,40
1665.0,40
1680.0,40
1710.0,40
1740.0,48
1755.0,45
1770.0,53
1800.0,50
1830.0,50
1845.0,49
1860.0,50
1890.0,49
1920.0,53
1935.0,51
1950.0,53
1980.0,47
2010.0,47
2025.0,41
2040.0,44
2070.0,33
2100.0,34
2115.0,29
2130.0,30
2160.0,30
2190.0,30
2205.0,28
2220.0,28
2250.0,19
2280.0,21
2295.0,13
2310.0,13
2340.0,11
2370.0,13
2385.0,12
2400.0,15
2430.0,14
2460.0,14
2475.0,12
2490.0,12
2520.0,14
2550.0,15
2565.0,23
2580.0,24
2610.0,29
2640.0,31
2655.0,31
2670.0,31
2700.0,31
2730.0,34
2745.0,34
2760.0,36
2790.0,37
2820.0,42
2835.0,42
2850.0,48
2880.0,52
2910.0,67
2925.0,62
2940.0,67
2970.0,68
3000.0,68
3015.0,66
3030.0,66
3060.0,63
3090.0,67
3105.0,59
3120.0,60
3150.0,60
3180.0,60
3195.0,59
3210.0,59
3240.0,59
3270.0,62
3285.0,62
3300.0,63
3330.0,73
3360.0,75
3375.0,73
3390.0,74
3420.0,71
3450.0,75
3465.0,70
3480.0,75
3510.0,89
3540.0,104
3555.0,108
3570.0,116
3600.0,118
3630.0,120
3645.0,117
3660.0,123
3690.0,121
3720.0,130
3735.0,126
3750.0,141
3780.0,132
3810.0,142
3825.0,129
3840.0,137
3870.0,133
3900.0,145
3915.0,133
3930.0,133
3960.0,128
3990.0,143
4005.0,126
4020.0,126
4050.0,111
4080.0,113
4095.0,96
4110.0,96
4140.0,93
4170.0,93
4185.0,87
4200.0,89
4230.0,83
4260.0,91
4275.0,84
4290.0,96
4320.0,94
4350.0,95
4365.0,87
4380.0,94
4410.0,97
4440.0,116
4455.0,113
4470.0,123
4500.0,109
4530.0,115
4545.0,114
4560.0,117
4590.0,130
4620.0,140
4635.0,139
4650.0,140
4680.0,144
4710.0,151
4725.0,154
4740.0,168
4770.0,161
4800.0,163
4815.0,140
4830.0,140
4860.0,132
4890.0,135
4905.0,114
4920.0,119
4950.0,95
4980.0,96
4995.0,84
5010.0,89
5040.0,78
5070.0,86
5085.0,66
5100.0,67
5130.0,67
5160.0,84
5175.0,85
5190.0,86
5220.0,85
5250.0,94
5265.0,80
5280.0,83
5310.0,103
5340.0,123
5355.0,128
5370.0,140
5400.0,145
5430.0,150
5445.0,147
5460.0,147
5490.0,152
5520.0,163
5535.0,159
5550.0,161
5580.0,157
5610.0,160
5625.0,150
5640.0,150
5670.0,134
5700.0,135
5715.0,117
5730.0,118
5760.0,101
5790.0,102
5805.0,86
5820.0,88
5850.0,74
5880.0,85
5895.0,72
5910.0,85
5940.0,89
5970.0,96
5985.0,90
6000.0,104
6030.0,103
6060.0,116
6075.0,118
6090.0,133
6120.0,134
6150.0,146
6165.0,151
6180.0,152
6210.0,166
6240.0,174
6255.0,181
6270.0,184
6300.0,193
6330.0,207
6345.0,197
6360.0,206
6390.0,194
6420.0,213
6435.0,195
6450.0,208
6480.0,206
6510.0,216
6525.0,197
6540.0,209
6570.0,206
6600.0,226
6615.0,209
6630.0,219
6660.0,208
6690.0,222
6705.0,208
6720.0,213
6750.0,206
6780.0,221
6795.0,211
6810.0,223
6840.0,219
6870.0,228
6885.0,219
6900.0,230
6930.0,223
6960.0,247
6975.0,238
6990.0,249
7020.0,248
7050.0,261
7065.0,235
7080.0,237
7110.0,211
7140.0,217
7155.0,199
7170.0,204
7200.0,211
7230.0,222
7245.0,219
7260.0,230
7290.0,208
7320.0,215
7335.0,194
7350.0,201
7380.0,194
7410.0,207
7425.0,185
7440.0,196
7470.0,169
7500.0,176
7515.0,154
7530.0,169
7560.0,159
7590.0,179
7605.0,178
7620.0,186
7650.0,179
7680.0,196
7695.0,177
7710.0,180
7740.0,186
7770.0,202
7785.0,189
7800.0,200
7830.0,208
7860.0,228
7875.0,222
7890.0,231
7920.0,227
7950.0,238
7965.0,229
7980.0,235
8010.0,247
8040.0,266
8055.0,249
8070.0,260
8100.0,242
8130.0,256
8145.0,246
8160.0,256
8190.0,256
8220.0,273
8235.0,250
8250.0,261
8280.0,247
8310.0,252
8325.0,233
8340.0,238
8370.0,225
8400.0,234
8415.0,212
8430.0,218
8460.0,207
8490.0,211
8505.0,189
8520.0,195
8550.0,180
8580.0,201
8595.0,193
8610.0,200
8640.0,190
8670.0,213
8685.0,185
8700.0,198
8730.0,187
8760.0,205
8775.0,191
8790.0,202
8820.0,206
8850.0,224
8865.0,213
8880.0,224
8910.0,230
8940.0,242
8955.0,232
8970.0,236
9000.0,238
9030.0,246
9045.0,235
9060.0,245
9090.0,220
9120.0,226
9135.0,214
9150.0,221
9180.0,207
9210.0,230
9225.0,207
9240.0,215
9270.0,203
9300.0,212
9315.0,192
9330.0,198
9360.0,184
9390.0,196
9405.0,167
9420.0,172
9450.0,157
9480.0,167
9495.0,155
9510.0,160
9540.0,150
9570.0,152
9585.0,139
9600.0,139
9630.0,130
9660.0,132
9675.0,120
9690.0,121
9720.0,112
9750.0,112
9765.0,96
9780.0,97
9810.0,95
9840.0,96
9855.0,83
9870.0,87
9900.0,84
9930.0,89
9945.0,81
9960.0,85
9990.0,92
10020.0,101
10035.0,102
10050.0,103
10080.0,104
