seed,push_count,fallback_count,total_reviews,reviews_per_day,t1_events,t2_events,s1_suppressed,s2_suppressed,s3_suppressed,avg_items_per_review,burden_score,avg_stale_at_fallback,archive_count,resurface_count,missed_critical,n_families
42,8,4,12,36.0,8,8,0,0,0,4.75,57.0,0.703,67,120,0,5
43,6,5,11,33.0,6,6,0,0,0,4.64,51.0,0.877,41,77,0,5
44,10,3,13,39.0,10,9,0,0,0,4.77,62.0,0.655,85,196,0,5
45,7,2,9,27.0,7,7,0,0,0,4.78,43.0,0.94,79,133,0,5
46,4,6,10,30.0,4,3,0,0,0,4.3,43.0,0.768,41,47,0,5
47,5,6,11,33.0,5,4,0,0,0,4.36,48.0,0.592,28,28,0,5
48,7,3,10,30.0,7,7,0,0,0,4.2,42.0,0.318,51,72,0,5
49,3,6,9,27.0,3,3,0,0,0,4.22,38.0,0.903,38,30,0,5
50,4,6,10,30.0,4,2,0,0,0,3.9,39.0,0.62,16,30,0,5
51,7,3,10,30.0,7,6,0,0,0,4.9,49.0,0.932,70,142,0,5
52,6,5,11,33.0,6,4,0,0,0,4.55,50.0,0.577,38,42,0,5
53,8,4,12,36.0,8,7,0,0,0,4.58,55.0,0.527,67,128,0,5
54,7,4,11,33.0,7,6,0,0,0,4.55,50.0,0.638,61,110,0,5
55,8,3,11,33.0,8,8,0,0,0,4.91,54.0,0.917,73,159,0,5
56,5,5,10,30.0,5,5,0,0,0,4.2,42.0,0.552,61,42,0,5
57,5,5,10,30.0,5,4,0,0,0,5.0,50.0,0.869,32,68,0,5
58,2,8,10,30.0,2,2,0,0,0,3.7,37.0,0.633,10,6,0,5
59,7,4,11,33.0,7,5,0,0,0,4.91,54.0,0.912,55,109,0,5
60,7,4,11,33.0,7,7,0,0,0,4.27,47.0,0.713,60,161,0,5
61,7,4,11,33.0,7,4,0,0,0,3.82,42.0,0.69,40,34,0,5
