tier,grammar_family,n_cards,hit_count,expired_count,hit_rate,tte_mean,tte_median,tte_p25,tte_p75,tte_p90,expiry_before_hit,decayed_but_late_hit,current_hl_min,recommended_hl_min
actionable_watch,baseline,1,0,1,0.0,,,,,,0,0,40,40
actionable_watch,beta_reversion,6,4,0,0.667,33.8,32.5,25.0,41.2,43.5,1,1,40,48
actionable_watch,positioning_unwind,24,24,0,1.0,15.8,10.0,6.0,25.0,31.0,0,0,40,35
baseline_like,baseline,35,0,35,0.0,,,,,,0,0,90,90
baseline_like,flow_continuation,5,0,5,0.0,,,,,,0,0,90,90
monitor_borderline,baseline,35,0,35,0.0,,,,,,0,0,60,60
monitor_borderline,beta_reversion,3,2,0,0.667,32.5,32.5,28.8,36.2,38.5,0,0,60,43
monitor_borderline,flow_continuation,40,0,40,0.0,,,,,,0,0,60,60
research_priority,baseline,13,0,13,0.0,,,,,,0,0,50,50
research_priority,beta_reversion,7,6,0,0.857,33.3,32.5,25.0,40.0,42.5,0,0,50,47
research_priority,flow_continuation,5,0,5,0.0,,,,,,0,0,50,50
research_priority,positioning_unwind,126,126,0,1.0,11.2,6.0,4.0,10.0,30.0,0,0,50,35
