window,seed,n_batch_cards,n_live_events,n_promotions,n_contradictions,n_reinforcements,n_suppress,n_stale_cards,monitoring_cost_hl_min,score_mean,score_min,score_max,active_ratio,tier_actionable_watch,tier_research_priority,tier_monitor_borderline,tier_baseline_like,tier_reject_conflicted
0,42,10,100,6,0,94,0,0,460.0,0.9236,0.9076,0.9613,1.0,10,0,0,0,0
1,43,10,130,8,0,122,0,10,480.0,0.8457,0.8139,0.9156,1.0,10,0,0,0,0
2,44,10,100,7,0,93,0,10,470.0,0.8484,0.817,0.9209,1.0,10,0,0,0,0
3,45,10,130,8,0,122,0,10,480.0,0.8847,0.8597,0.9272,1.0,10,0,0,0,0
4,46,10,110,8,0,102,0,10,480.0,0.8772,0.8511,0.9254,1.0,10,0,0,0,0
5,47,10,100,8,0,92,0,10,480.0,0.8446,0.8128,0.9144,1.0,10,0,0,0,0
6,48,10,120,8,0,112,0,10,480.0,0.8921,0.8683,0.929,1.0,10,0,0,0,0
7,49,10,70,8,0,62,0,10,480.0,0.8253,0.7914,0.9135,1.0,10,0,0,0,0
8,50,10,150,8,0,142,0,10,480.0,0.9027,0.8841,0.9321,1.0,10,0,0,0,0
9,51,10,137,7,0,130,0,10,470.0,0.8858,0.8607,0.9242,1.0,10,0,0,0,0
