window,family,fire_count,n_cards_total,tier_actionable_watch,tier_research_priority,tier_monitor_borderline,tier_baseline_like,tier_reject_conflicted
1h,beta_reversion,0,18,0,0,0,0,0
1h,positioning_unwind,0,18,0,0,0,0,0
1h,flow_continuation,0,18,0,0,0,0,0
1h,cross_asset,18,18,0,0,0,0,0
1h,baseline,0,18,0,0,0,0,0
4h,beta_reversion,0,18,0,0,0,0,0
4h,positioning_unwind,0,18,0,0,0,0,0
4h,flow_continuation,0,18,0,0,0,0,0
4h,cross_asset,18,18,0,0,0,0,0
4h,baseline,0,18,0,0,0,0,0
8h,beta_reversion,0,18,0,0,0,0,0
8h,positioning_unwind,0,18,0,0,0,0,0
8h,flow_continuation,0,18,0,0,0,0,0
8h,cross_asset,18,18,0,0,0,0,0
8h,baseline,0,18,0,0,0,0,0
7d,beta_reversion,0,18,0,0,0,0,0
7d,positioning_unwind,0,18,0,0,0,0,0
7d,flow_continuation,0,18,0,0,0,0,0
7d,cross_asset,18,18,0,0,0,0,0
7d,baseline,0,18,0,0,0,0,0
