window,regime,observation_count,n_cards_total
1h,resting_liquidity,0,18
1h,aggressive_buying,0,18
1h,aggressive_selling,0,18
1h,spread_widening,0,18
1h,funding_extreme_long,0,18
1h,funding_extreme_short,0,18
1h,correlation_break,0,18
1h,undefined,0,18
4h,resting_liquidity,0,18
4h,aggressive_buying,0,18
4h,aggressive_selling,0,18
4h,spread_widening,0,18
4h,funding_extreme_long,0,18
4h,funding_extreme_short,0,18
4h,correlation_break,0,18
4h,undefined,0,18
8h,resting_liquidity,0,18
8h,aggressive_buying,0,18
8h,aggressive_selling,0,18
8h,spread_widening,0,18
8h,funding_extreme_long,0,18
8h,funding_extreme_short,0,18
8h,correlation_break,0,18
8h,undefined,0,18
7d,resting_liquidity,0,18
7d,aggressive_buying,0,18
7d,aggressive_selling,0,18
7d,spread_widening,0,18
7d,funding_extreme_long,0,18
7d,funding_extreme_short,0,18
7d,correlation_break,0,18
7d,undefined,0,18
