card_id,score_initial,score_r019_after,score_sprint_t,saturated_r019,saturated_t
17bb0b85-8247-4d88-bbf7-1be1ba189e40,0.6958,n/a,0.9128,n/a,0
27df2cd7-89af-4e22-928e-48ab3b795cca,0.6876,n/a,0.9076,n/a,0
3948f7b3-2b62-4515-a2f0-e96e02497179,0.6958,n/a,0.9128,n/a,0
4478f353-19a0-476d-bcb0-d6ad1207147c,0.745,n/a,0.9194,n/a,0
5663294d-db54-48e8-97cf-31e3303abafc,0.7055,n/a,0.9225,n/a,0
724345f5-80e8-4585-be4d-ff84977969d8,0.6958,n/a,0.9128,n/a,0
d7f47ce7-c74e-4dcd-94a1-a6618dc22ce0,0.8038,n/a,0.9447,n/a,0
e7ee9452-978a-4611-b9a9-676b6384195f,0.7055,n/a,0.9225,n/a,0
ebc63826-2a6f-4365-8aa4-1ba01bf837ad,0.745,n/a,0.9194,n/a,0
f2359fca-d724-4b02-99bb-da6a38358a05,0.865,n/a,0.9613,n/a,0
